input_text,label
' OR '1'='1,SQLI
<script>alert('xss')</script>,XSS
I love your site!,Benign
DROP TABLE users;,SQLI
<iframe src='evil.com'></iframe>,XSS
Nice post!,Benign
UNION SELECT password FROM users,SQLI
Great content!,Benign
<script>document.cookie</script>,XSS
Youâ€™re doing great!,Benign
Welcome to our website!,Benign
Can I get more information about your services?,Benign
' OR 1=1--,SQLI
SELECT * FROM users WHERE '1'='1',SQLI
<svg onload=alert('xss')>,XSS
<a href="javascript:alert('xss')">Click me</a>,XSS